Derek Anderson,0,QB,BUF,4000
Davis Webb,0,QB,NYJ,4000
Joe Webb,0,QB,HOU,4000
Nate Sudfeld,0,QB,PHI,4000
Matt Schaub,0,QB,ATL,4000
Taylor Heinicke,16.54,QB,CAR,4000
Alex Tanney,0,QB,NYG,4000
T.J. Yeldon,0,RB,JAC,4000
David Fales,0,QB,MIA,4000
Jimmy Garoppolo,0,QB,SF,4000
Marquise Goodwin,8.68,WR,SF,4000
Trey Burton,10.58,TE,CHI,4000
Tyler Bray,0,QB,CHI,4000
Taysom Hill,0,QB,NO,4000
Kevin Hogan,0,QB,DEN,4000
Jalen Richard,11.16,RB,OAK,4000
Mike White,0,QB,DAL,4000
Tim Boyle,0,QB,GB,4000
Kyle Lauletta,0,QB,NYG,4000
John Kelly,5.62,RB,LAR,4000
Tre'Quan Smith,10.83,WR,NO,4000
Rashaad Penny,0,RB,SEA,4000
Tim Patrick,8.53,WR,DEN,4000
Michael Crabtree,9.29,WR,BAL,3900
Giovani Bernard,7.81,RB,CIN,3900
Cameron Brate,10.31,TE,TB,3900
Chris Ivory,0,RB,BUF,3900
Marcus Murphy,0,RB,BUF,3900
Isaiah McKenzie,10.02,WR,BUF,3900
Kenyan Drake,12.11,RB,MIA,3900
Chris Conley,10.83,WR,KC,3900
Antonio Callaway,11.13,WR,CLE,3900
Willie Snead,9.86,WR,BAL,3800
Duke Johnson,9.17,RB,CLE,3800
David Njoku,10.91,TE,CLE,3800
John Ross,11.01,WR,CIN,3800
Latavius Murray,6.36,RB,MIN,3800
Danny Amendola,9.07,WR,MIA,3800
Mike Davis,9.28,RB,SEA,3800
Chase Edmonds,4.97,RB,ARI,3800
David Moore,13.42,WR,SEA,3800
Bruce Ellington,0,WR,DET,3700
Zay Jones,10.16,WR,BUF,3700
Jimmy Graham,8.47,TE,GB,3700
Nelson Agholor,8.67,WR,PHI,3700
Austin Hooper,9.99,TE,ATL,3700
Taywan Taylor,8.72,WR,TEN,3700
Marquez Valdes-Scantling,6.23,WR,GB,3700
Nyheim Hines,8.94,RB,IND,3700
Kalen Ballage,14.47,RB,MIA,3700
Jeff Wilson,6.63,RB,SF,3700
Josh Doctson,8.31,WR,WAS,3600
Cole Beasley,9.66,WR,DAL,3600
Peyton Barber,12.3,RB,TB,3600
Zach Zenner,7.52,RB,DET,3600
Darren Sproles,9.48,RB,PHI,3600
D'Onta Foreman,0,RB,HOU,3600
Dontrelle Inman,5.22,WR,IND,3600
Donte Moncrief,9.64,WR,JAC,3600
DeVante Parker,9.04,WR,MIA,3600
C.J. Anderson,8.64,RB,LAR,3600
Seth Roberts,9.08,WR,OAK,3600
Ito Smith,0,RB,ATL,3600
Ty Montgomery,0,RB,BAL,3500
Cody Core,6.59,WR,CIN,3500
Jermaine Kearse,8,WR,NYJ,3500
Quincy Enunwa,0,WR,NYJ,3500
Wayne Gallman,3.42,RB,NYG,3500
Bears,10.51,DST,CHI,3500
Kendrick Bourne,8.02,WR,SF,3500
Stevan Ridley,4.27,RB,PIT,3500
Kelvin Benjamin,4.67,WR,KC,3500
Anthony Firkser,6.96,TE,TEN,3500
Michael Gallup,7.55,WR,DAL,3500
Ian Thomas,7.64,TE,CAR,3500
Keith Kirkwood,5.89,WR,NO,3500
Darrel Williams,3.66,RB,KC,3500
Royce Freeman,6.44,RB,DEN,3500
Titans,10.08,DST,TEN,3400
Travis Benjamin,7.32,WR,LAC,3400
Rashard Higgins,5.94,WR,CLE,3400
Kyle Rudolph,9.06,TE,MIN,3400
LeGarrette Blount,7.49,RB,DET,3400
Russell Shepard,0,WR,NYG,3400
Ryan Switzer,5.77,WR,PIT,3400
Keith Ford,0,RB,BUF,3400
Trenton Cannon,5.71,RB,NYJ,3400
Trent Sherfield,5.55,WR,ARI,3400
Marcell Ateman,9.01,WR,OAK,3400
C.J. Uzomah,9.29,TE,CIN,3300
Alex Erickson,5.74,WR,CIN,3300
Jacquizz Rodgers,3.98,RB,TB,3300
Chris Hogan,7.85,WR,NE,3300
Rex Burkhead,8.11,RB,NE,3300
DeAndre Carter,5.66,WR,HOU,3300
Ryan Grant,6.38,WR,IND,3300
Colts,9.25,DST,IND,3300
Brandon Bolden,3.28,RB,MIA,3300
Frank Gore,0,RB,MIA,3300
Dontrell Hilliard,0,RB,CLE,3300
D.J. Chark,0,WR,JAC,3300
Tajae Sharpe,6.55,WR,TEN,3200
Breshad Perriman,6.51,WR,CLE,3200
Aldrick Robinson,8.01,WR,MIN,3200
Cordarrelle Patterson,6.92,WR,NE,3200
Andre Roberts,4.9,WR,NYJ,3200
Chester Rogers,7.16,WR,IND,3200
Zach Pascal,5.72,WR,IND,3200
Carlos Hyde,0,RB,JAC,3200
Keelan Cole,6.7,WR,JAC,3200
Rams,10.01,DST,LAR,3200
J.J. Nelson,2.85,WR,ARI,3200
Alfred Morris,0,RB,SF,3200
Devontae Booker,3.94,RB,DEN,3200
TJ Jones,5.12,WR,DET,3100
Texans,8.89,DST,HOU,3100
Jarius Wright,6.22,WR,CAR,3100
Torrey Smith,0,WR,CAR,3100
Ronald Jones,0,RB,TB,3100
Equanimeous St. Brown,6.22,WR,GB,3100
Chris Herndon,8.22,TE,NYJ,3100
Jordan Wilkins,2.66,RB,IND,3100
James Washington,6.32,WR,PIT,3100
Michael Floyd,0,WR,WAS,3000
Mike Campanaro,0,WR,TEN,3000
David Fluellen,0,RB,TEN,3000
Darius Jennings,0,WR,TEN,3000
Byron Marshall,0,RB,WAS,3000
Rob Kelley,0,RB,WAS,3000
Maurice Harris,4.68,WR,WAS,3000
Samaje Perine,0,RB,WAS,3000
Jeremy McNichols,0,RB,TEN,3000
Jehu Chesson,0,WR,WAS,3000
Javorius Allen,0,RB,BAL,3000
Geremy Davis,0,WR,LAC,3000
Derek Watt,0,RB,LAC,3000
Chris Moore,3.02,WR,BAL,3000
Troymaine Pope,0,RB,LAC,3000
Quincy Adeboyejo,0,WR,BAL,3000
Browns,8.81,DST,CLE,3000
Josh Malone,0,WR,CIN,3000
Allen Hurns,7.31,WR,DAL,3000
Jamize Olawale,0,RB,DAL,3000
Tavon Austin,0,WR,DAL,3000
Terrance Williams,0,WR,DAL,3000
Lance Lenoir,0,WR,DAL,3000
Noah Brown,0,WR,DAL,3000
Blake Jarwin,6.1,TE,DAL,3000
Bobo Wilson,0,WR,TB,3000
Ameer Abdullah,0,RB,MIN,3000
Laquon Treadwell,0,WR,MIN,3000
Andy Jones,3.34,WR,DET,3000
C.J. Ham,0,RB,MIN,3000
Deonte Thompson,3.67,WR,BUF,3000
James Develin,4.34,RB,NE,3000
Patrick DiMarco,0,RB,BUF,3000
Matt Slater,0,WR,NE,3000
Phillip Dorsett,4.2,WR,NE,3000
Cody Hollister,0,WR,NE,3000
Bilal Powell,0,RB,NYJ,3000
Rishard Matthews,0,WR,NYJ,3000
Kapri Bibbs,0,RB,GB,3000
Jake Kumerow,0,WR,GB,3000
Charone Peake,0,WR,NYJ,3000
Geronimo Allison,0,WR,GB,3000
Danny Vitale,0,RB,GB,3000
De'Angelo Henderson,0,RB,NYJ,3000
Jordan Matthews,8.31,WR,PHI,3000
Mike Wallace,0,WR,PHI,3000
Sammie Coates,0,WR,HOU,3000
Jay Ajayi,0,RB,PHI,3000
Will Fuller,0,WR,HOU,3000
Wendell Smallwood,8.49,RB,PHI,3000
Mack Hollins,0,WR,PHI,3000
Shelton Gibson,0,WR,PHI,3000
Travaris Cadet,0,RB,CAR,3000
Justin Hardy,3.36,WR,ATL,3000
Kenjon Barner,0,RB,CAR,3000
Cameron Artis-Payne,0,RB,CAR,3000
Marvin Hall,0,WR,ATL,3000
Mose Frazier,0,WR,CAR,3000
Alex Armah,0,RB,CAR,3000
Brian Hill,4.77,RB,ATL,3000
Ricky Ortiz,0,RB,ATL,3000
Cody Latimer,0,WR,NYG,3000
Jonathan Stewart,0,RB,NYG,3000
Bennie Fowler,3.03,WR,NYG,3000
Matt Hazel,0,WR,IND,3000
Corey Coleman,3.97,WR,NYG,3000
Elijhaa Penny,0,RB,NYG,3000
Jonathan Williams,0,RB,IND,3000
Albert Wilson,0,WR,MIA,3000
Brice Butler,4.69,WR,MIA,3000
Senorise Perry,0,RB,MIA,3000
Tommy Bohanon,0,RB,JAC,3000
Corey Grant,0,RB,JAC,3000
Rashad Greene,0,WR,JAC,3000
Leonte Carroo,0,WR,MIA,3000
Isaiah Ford,0,WR,MIA,3000
Derrick Coleman,0,RB,ARI,3000
Pharoh Cooper,0,WR,ARI,3000
T.J. Logan,0,RB,ARI,3000
Chad Williams,3.2,WR,ARI,3000
Benny Cunningham,0,RB,CHI,3000
Josh Bellamy,6.17,WR,CHI,3000
Kyle Juszczyk,3.65,RB,SF,3000
Kevin White,0,WR,CHI,3000
Michael Burton,0,RB,CHI,3000
Taquan Mizzell,0,RB,CHI,3000
Matthew Dayes,0,RB,SF,3000
Trent Taylor,5.15,WR,SF,3000
Darrius Heyward-Bey,0,WR,PIT,3000
Le'Veon Bell,0,RB,PIT,3000
Shane Vereen,0,RB,NO,3000
Ted Ginn Jr.,0,WR,NO,3000
Zach Line,0,RB,NO,3000
Tommylee Lewis,0,WR,NO,3000
Dwayne Washington,0,RB,NO,3000
Roosevelt Nix,0,RB,PIT,3000
Eli Rogers,3.02,WR,PIT,3000
Austin Carr,5.05,WR,NO,3000
Trey Edmunds,0,RB,PIT,3000
Anthony Sherman,0,RB,KC,3000
Jaron Brown,8.24,WR,SEA,3000
Charcandrick West,0,RB,KC,3000
Tre Madden,0,RB,SEA,3000
J.D. McKissic,0,RB,SEA,3000
Gehrig Dieter,0,WR,KC,3000
Marcus Kemp,0,WR,KC,3000
Andre Holmes,0,WR,DEN,3000
Dwayne Harris,0,WR,OAK,3000
Marshawn Lynch,0,RB,OAK,3000
Broncos,8.53,DST,DEN,3000
Jordan Taylor,0,WR,DEN,3000
DeAndre Washington,0,RB,OAK,3000
Matt LaCosse,0,TE,DEN,3000
Andy Janovich,0,RB,DEN,3000
Keith Smith,0,RB,OAK,3000
Cameron Batson,0,WR,TEN,3000
Artavis Scott,0,WR,LAC,3000
Patrick Ricard,0,RB,BAL,3000
Jordan Lasley,0,WR,BAL,3000
Jaleel Scott,0,WR,BAL,3000
Dylan Cantrell,0,WR,LAC,3000
Detrez Newsome,0,RB,LAC,3000
Auden Tate,4.54,WR,CIN,3000
Mark Walton,0,RB,CIN,3000
Damion Ratley,0,WR,CLE,3000
Justin Watson,0,WR,TB,3000
Nick Bellore,0,RB,DET,3000
Brandon Powell,3.35,WR,DET,3000
Chad Beebe,0,WR,MIN,3000
Mike Boone,0,RB,MIN,3000
Brandon Zylstra,0,WR,MIN,3000
Ray-Ray McCloud,0,WR,BUF,3000
Da'Mari Scott,0,WR,BUF,3000
Braxton Berrios,0,WR,NE,3000
J'Mon Moore,0,WR,GB,3000
Deontay Burnett,0,WR,NYJ,3000
Buddy Howell,0,RB,HOU,3000
Vyncint Smith,0,WR,HOU,3000
Boston Scott,0,RB,PHI,3000
Elijah Hood,0,RB,CAR,3000
Russell Gage,0,WR,ATL,3000
Daurice Fountain,0,WR,IND,3000
Jawill Davis,2.95,WR,NYG,3000
David Williams,0,RB,JAC,3000
JoJo Natson Jr.,0,WR,LAR,3000
Justin Davis,0,RB,LAR,3000
Jalen Tolliver,0,WR,ARI,3000
Khadarel Hodge,0,WR,LAR,3000
Javon Wims,0,WR,CHI,3000
Richie James,0,WR,SF,3000
Simmie Cobbs,0,WR,NO,3000
Bo Scarbrough,0,RB,SEA,3000
Malik Turner,0,WR,SEA,3000
ArDarius Stewart,0,WR,OAK,3000
Keon Hatcher,0,WR,OAK,3000
River Cracraft,0,WR,DEN,3000
Antonio Gates,6.75,TE,LAC,2900
Vikings,9.45,DST,MIN,2900
Ricky Seals-Jones,6.78,TE,ARI,2900
Jordan Thomas,7.22,TE,HOU,2900
Gerald Everett,8.12,TE,LAR,2900
Packers,8.77,DST,GB,2800
Jesse James,5.75,TE,PIT,2800
Mark Andrews,6.28,TE,BAL,2800
Ryan Griffin,3.74,TE,HOU,2700
Jaguars,8.88,DST,JAC,2700
Dolphins,8.54,DST,MIA,2700
Benjamin Watson,6.95,TE,NO,2700
Chargers,8.66,DST,LAC,2600
Maxx Williams,0,TE,BAL,2600
